customer_id,name,city,signup_date
CUSHPW8G9,Ravi,Delhi,2024-01-26 00:00:00
CUSFI4U7T,,,2024-06-12 00:00:00
CUSLAPE4B,Rahul,Hyderabad,2024-11-15 00:00:00
,Manoj,,
CUS9SFQLT,Rahul,Hyderabad,2024-08-20 00:00:00
CUS48A2UW,Vikram,,2024-05-21 00:00:00
CUSABBN0A,Sneha,Delhi,2024-01-15 00:00:00
CUSZGJ0OW,,Chennai,2024-09-28 00:00:00
,Arjun,Mumbai,2024-10-04 00:00:00
CUSS2LJAV,,,2024-09-14 00:00:00
CUSIKFLV6,Sneha,Chennai,
CUSBCNZL6,,Hyderabad,2024-05-10 00:00:00
CUSVMWGHI,Rahul,Chennai,2024-07-16 00:00:00
CUSGSM7RV,,Hyderabad,2024-10-21 00:00:00
CUS8LMCY4,,Chennai,2024-12-14 00:00:00
CUSBYUBTP,,,2024-02-24 00:00:00
,Manoj,Mumbai,
,,Delhi,2024-07-05 00:00:00
CUS0NOKRU,Ravi,Pune,2024-01-17 00:00:00
CUS0KQE9L,,Delhi,2024-07-11 00:00:00
CUSUWCUCD,Divya,Bangalore,2024-06-06 00:00:00
CUSBVYHRN,,Chennai,2024-04-14 00:00:00
CUSVB71OL,Ravi,Bangalore,2024-04-27 00:00:00
CUS9N76MB,Sai,Bangalore,2024-07-18 00:00:00
,Sai,,2024-07-19 00:00:00
CUSW7YHQC,Kiran,,
CUSEIXIXM,Rahul,,2024-12-25 00:00:00
CUSFALLLM,Manoj,,2024-02-23 00:00:00
,,Delhi,2024-02-18 00:00:00
CUSC21TUJ,Arjun,Mumbai,2024-04-30 00:00:00
,Kiran,Bangalore,2024-11-22 00:00:00
,Manoj,Delhi,
CUSUQV2KX,Sneha,Bangalore,2024-09-29 00:00:00
CUS46CN8O,Manoj,,
CUSABFKXD,Divya,Pune,2024-04-29 00:00:00
CUSAAW5UC,Ravi,,2024-03-15 00:00:00
CUSPL504K,,Chennai,2024-04-23 00:00:00
CUS4IEYUQ,Kiran,Bangalore,
CUS0TL3FQ,Vikram,Hyderabad,2024-10-28 00:00:00
CUSHH39KU,Manoj,Hyderabad,2024-12-05 00:00:00
CUSHGN13X,Sneha,Chennai,2024-08-13 00:00:00
CUSZCZAE5,,Chennai,2024-10-17 00:00:00
,Divya,,
CUSSUZ8M9,,,
CUSV89TI9,Arjun,Delhi,2024-12-10 00:00:00
CUSFE9YEK,Rahul,Mumbai,2024-07-04 00:00:00
CUSXNJT1E,Kiran,Chennai,2024-11-25 00:00:00
,Divya,Pune,2024-08-24 00:00:00
CUSCUHYNJ,Ravi,,
,Sai,Pune,2024-08-28 00:00:00
